*****           FF          SL           FT          CH         CU           SI           FC          KC           FS           KN           FA           FO           EP           PO           SC           AB
FF       0.510461   0.143277    0.0755388    0.0951346   0.0788788  0.0177477    0.0388973    0.0203443   0.0132927    0.00136799   0.00360323   0.000944687  0.000242624  0.000268436  0            0
SL       0.337382   0.339655    0.115212     0.064522    0.0405157  0.0657628    0.0204407    0.00385304  0.00941708   1.30611e-05  0.00265141   0.000156734  9.1428e-05   0.000326528  0            0
FT       0.199642   0.13308     0.416202     0.114242    0.0721775  5.64438e-05  0.0335558    0.0148024   0.0114863    0            0.00441672   1.41109e-05  7.05547e-05  0.000239886  0            1.41109e-05
CH       0.323269   0.0872509   0.137944     0.253631    0.0641431  0.0681208    0.043644     0.0165769   0.00103606   0.000240514  0.0035892    0            0.000259015  0.000296017  0            0
CU       0.345851   0.0842384   0.119022     0.11242     0.21592    0.050614     0.0545657    0           0.0108138    0.00191666   0.00373867   0.000402262  0.000402262  9.46499e-05  0            0
SI       0.0899941  0.14194     0.000106502  0.108659    0.0573779  0.516987     0.0425475    0.0239363   0.0153097    0            0.00183716   0            0.000878641  0.000346131  7.98765e-05  0
FC       0.252837   0.0613418   0.08052      0.0875593   0.084327   0.0543744    0.325312     0.0292702   0.0215845    0            0.00172389   0            0.000754202  0.000395058  0            0
KC       0.336627   0.0372052   0.0919448    0.0994215   0          0.0776146    0.0728972    0.280908    0.00275923   0            0.000445038  0            0            0.000178015  0            0
FS       0.287255   0.0711077   0.0853549    0.00962649  0.0376075  0.0601977    0.0657169    0.00269542  0.377615     0            0.000128353  0            0.00243871   0.000256706  0            0
KN       0.104053   0.00109529  0            0.00365097  0.0368748  0            0.000365097  0           0            0.832786     0            0            0.0211756    0            0            0
FA       0.328366   0.115487    0.145822     0.100053    0.0750399  0.0244811    0.0383183    0.00266099  0.000532198  0            0.169239     0            0            0            0            0
FO       0.585034   0.037415    0.00340136   0           0.0306122  0            0            0           0            0            0            0.343537     0            0            0            0
EP       0.199187   0.0406504   0.0284553    0.0569106   0.0650407  0.150407     0.0894309    0           0.101626     0.195122     0.00406504   0            0.0691057    0            0            0
PO       0.26699    0.169903    0.18932      0.092233    0.0485437  0.11165      0.0631068    0.00970874  0.0339806    0            0.00485437   0            0            0.00970874   0            0
SC       0.2        0           0            0.2         0          0.6          0            0           0            0            0            0            0            0            0            0
AB       0.333333   0           0.333333     0           0          0            0.333333     0           0            0            0            0            0            0            0            0
