IName	Independent Entropy	Conditional Entropy	Diff	Z-Score	P-Value
Collin McHugh	4.3544	4.2274	0.1271	-3.2359	0.0006
Francisco Rodriguez	3.7134	3.5884	0.1250	-2.1538	0.0156
Michael Lorenzen	3.9086	3.7307	0.1779	-1.9956	0.0230
Christopher Archer	3.3490	3.2755	0.0735	-1.9169	0.0276
Roenis Elias	4.2148	4.1512	0.0636	-1.7099	0.0436
Sergio Romo	3.0703	2.9099	0.1604	-1.4861	0.0686
Yimi Garcia	2.6504	2.4703	0.1801	-1.4416	0.0747
Johnny Cueto	4.5603	4.5172	0.0431	-1.3415	0.0899
Dallas Keuchel	4.3491	4.3080	0.0411	-1.3321	0.0914
Jaime Garcia	4.5430	4.4571	0.0859	-1.3102	0.0951
Kevin Gausman	2.9166	2.8262	0.0903	-1.0872	0.1385
Josh Tomlin	3.6684	3.5650	0.1033	-0.9883	0.1615
Chad Bettis	4.1127	4.0334	0.0792	-0.9856	0.1622
Cole Hamels	4.4435	4.4177	0.0257	-0.9683	0.1664
Carlos Villanueva	4.2170	4.1108	0.1063	-0.8810	0.1892
Williams Perez	2.5985	2.5346	0.0638	-0.6638	0.2534
Jake Peavy	4.4581	4.4121	0.0460	-0.4792	0.3159
John Lamb	3.3414	3.2973	0.0441	-0.4065	0.3422
Hansel Robles	1.8342	1.8017	0.0325	-0.2640	0.3959
David Price	4.4113	4.3996	0.0117	-0.2504	0.4011
Jose Quintana	3.3734	3.3498	0.0235	-0.2440	0.4036
Joshua Fields	2.3622	2.3360	0.0262	-0.1912	0.4242
Hisashi Iwakuma	4.4289	4.4015	0.0274	-0.1079	0.4570
Edinson Volquez	3.7520	3.7481	0.0039	-0.0093	0.4963
Tim Hudson	3.9299	3.9379	-0.0080	0.4617	0.6778
Derek Holland	3.3051	3.3169	-0.0117	0.4957	0.6900
Jake Arrieta	4.1939	4.2031	-0.0092	0.5471	0.7079
Kendall Graveman	3.8000	3.8172	-0.0172	0.6236	0.7336
Santiago Casilla	4.0146	4.0413	-0.0267	0.8235	0.7949
Clayton Kershaw	2.9702	3.0248	-0.0546	2.0182	0.9782
				#NAME?	
